Country/Territory,Coverage (age/grade),Drug Group,Lifetime,Notes,Past Month,Past Year,Region,Source,Subregion,Year of Estimate
Russian Federation,15 - 16,Opioids,0.4,Heroin,,,EUROPE,ARQ,Eastern Europe,2007
Russian Federation,0 - 18,Opioids,0.001, ,,,EUROPE,ARQ,Eastern Europe,2013
Russian Federation,15 - 16,Opioids,0.9,Heroin,,,EUROPE,ARQ,Eastern Europe,2011
Ukraine,15 - 34,Opioids,,Heroin,0.1,0.1,EUROPE,ARQ,Eastern Europe,2010
Ukraine,15 -17,Opioids,0.9,"Heroin, Registered users",,,EUROPE,ARQ,Eastern Europe,2011
Ukraine,16 -17,Opioids,, ,,11,EUROPE,ARQ,Eastern Europe,2015
Albania,14 - 19,Opioids,1.8, ,,,EUROPE,ARQ,South-Eastern Europe,2004
Albania,(SS) 15 - 16,Opioids,1.6,Heroin,,,EUROPE,ARQ / ESPAD,South-Eastern Europe,2015
Bosnia and Herzegovina,(SS) 15 - 16,Opioids,0.4,Heroin,,,EUROPE,ARQ,South-Eastern Europe,2011
Bosnia and Herzegovina,(SS) 15 - 16,Opioids,0.2,Pharmaceutical opioids,,,EUROPE,ARQ,South-Eastern Europe,2012
Bulgaria,14 - 19,Opioids,4.3, ,1.5,2.2,EUROPE,ARQ,South-Eastern Europe,2008
Bulgaria,14 - 19,Opioids,3.1,Heroin,1.1,1.6,EUROPE,ARQ,South-Eastern Europe,2008
Bulgaria,14 - 19,Opioids,3.2,Prescription opioids,1.2,1.6,EUROPE,ARQ,South-Eastern Europe,2008
Bulgaria,(SS) 15 - 16,Opioids,2.5,Heroin,,,EUROPE,ARQ,South-Eastern Europe,2011
Bulgaria,15-18,Opioids,2.9,Pharmaceutical opioids,1.6,2.2,EUROPE,ARQ,South-Eastern Europe,2013
Bulgaria,15-18,Opioids,3.5, ,2.2,2.8,EUROPE,ARQ,South-Eastern Europe,2013
Bulgaria,15-18,Opioids,2.7,Heroin,1.5,2.2,EUROPE,ARQ,South-Eastern Europe,2013
Bulgaria,(SS) 15 - 16,Opioids,4.6,Heroin,,,EUROPE,ARQ / ESPAD,South-Eastern Europe,2015
Bulgaria,(SS) 15 - 16,Opioids,4.2,Pharmaceutical opioids,,,EUROPE,ARQ / ESPAD,South-Eastern Europe,2015
Croatia,16,Opioids,1.1, ,,,EUROPE,ARQ,South-Eastern Europe,2007
Croatia,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ESPAD,South-Eastern Europe,2015
The former Yugoslav Republic of Macedonia,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ESPAD,South-Eastern Europe,2015
Montenegro,(SS) 16,Opioids,1.2,Heroin,,,EUROPE,ESPAD,South-Eastern Europe,2011
Montenegro,(SS) 15 - 16,Opioids,1, ,,,EUROPE,ESPAD,South-Eastern Europe,2008
Montenegro,(SS) 16,Opioids,2,Heroin,,,EUROPE,ARQ,South-Eastern Europe,2015
Romania,(SS) 16,Opioids,0.3, ,,,EUROPE,ESPAD,South-Eastern Europe,2007
Romania,(SS) 15 - 16,Opioids,1.1, ,,,EUROPE,ARQ,South-Eastern Europe,2011
Romania,(SS) 15 - 16,Opioids,1.8, ,,,EUROPE,ARQ,South-Eastern Europe,2015
Romania,(SS) 15 - 16,Opioids,1.8,Heroin,,,EUROPE,ARQ,South-Eastern Europe,2015
Serbia,16,Opioids,0.8, ,,,EUROPE,ARQ,South-Eastern Europe,2008
Serbia,(SS) 15 - 16,Opioids,1.1, ,,,EUROPE,ESPAD,South-Eastern Europe,2011
Turkey,(SS) 15 - 16,Opioids,1.5, ,,0.8,EUROPE,ESPAD,South-Eastern Europe,2003
Austria, ,Opioids,1.8, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Austria,14 - 17,Opioids,1.7,Heroin,,,EUROPE,ARQ,Western and Central Europe,2007
Austria,(SS) 15 - 16,Opioids,0.6,Heroin,,,EUROPE,ARQ / ESPAD,Western and Central Europe,2015
Belgium,15 - 16,Opioids,0.89,Heroin,,0.3,EUROPE,ARQ,Western and Central Europe,2010
Belgium,(SS) 15 - 16,Opioids,0.8,Heroin,,0.2,EUROPE,ARQ,Western and Central Europe,2011
Belgium,(SS) 15 - 16,Opioids,0.4,Heroin,,0.2,EUROPE,ARQ,Western and Central Europe,2012
Belgium,(SS) 15 - 16,Opioids,1,"Heroin, Flemish part",,,EUROPE,ESPAD,Western and Central Europe,2015
Cyprus,(SS) 15 - 16,Opioids,2, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Cyprus,16,Opioids,2,Heroin,,,EUROPE,ARQ,Western and Central Europe,2007
Cyprus,(SS) 15 - 16,Opioids,3,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2011
Cyprus,(SS) 15 - 16,Opioids,3, ,,,EUROPE,ESPAD,Western and Central Europe,2011
Cyprus,15 - 24,Opioids,,Heroin,,0.1,EUROPE,ARQ,Western and Central Europe,2012
Cyprus,(SS) 15 - 16,Opioids,3,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Cyprus,(SS) 15 - 34,Opioids,0.3,Heroin,,,EUROPE,ARQ,Western and Central Europe,2016
Czechia,(SS) 15 - 16,Opioids,2,Heroin and opiates,0.6,1.2,EUROPE,Govt./ ESPAD,Western and Central Europe,2007
Czechia,16,Opioids,1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2007
Czechia,(SS) 15 - 16,Opioids,1.4, ,0.3,0.7,EUROPE,ARQ,Western and Central Europe,2011
Czechia,(SS) 15 - 16,Opioids,0.7,Heroin,,,EUROPE,ARQ / ESPAD,Western and Central Europe,2015
Denmark,(SS) 15 - 16,Opioids,0.5, ,,,EUROPE,ARQ,Western and Central Europe,2007
Denmark,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Estonia,(SS) 15 - 16,Opioids,1.3, ,,,EUROPE,ARQ,Western and Central Europe,2007
Estonia,(SS) 15 - 19,Opioids,1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2011
Estonia,"(SS) 6, 8, 12 grades",Opioids,0.3,Heroin,,,EUROPE,ARQ,Western and Central Europe,2013
Estonia,"(SS) 6, 8, 12 grades",Opioids,0.2,"Pharmaceutical opioids, Fentanly",,,EUROPE,ARQ,Western and Central Europe,2013
Estonia,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Faroe Islands,(SS) 15 - 16,Opioids,1, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Faroe Islands,(SS) 15 - 16,Opioids,0,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Finland,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2007
Finland,(SS) 15 - 16,Opioids,1,Prescription opioids,,,EUROPE,ARQ,Western and Central Europe,2007
Finland,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2011
Finland,(SS) 15 - 16,Opioids,1,Prescription opioids,,,EUROPE,ARQ,Western and Central Europe,2011
Finland,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2013
Finland,(SS) 15 - 16,Opioids,1,Pharmaceutical opioids,,,EUROPE,ARQ,Western and Central Europe,2013
Finland,(SS) 15 - 16,Opioids,2, ,6,,EUROPE,ARQ,Western and Central Europe,2013
Finland,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ARQ (ESPAD),Western and Central Europe,2015
France,(SS) 15 - 16,Opioids,3, ,,,EUROPE,ESPAD,Western and Central Europe,2007
France,17,Opioids,0.9, ,,0.6,EUROPE,ARQ,Western and Central Europe,2011
France,17,Opioids,1,Heroin. Urban areas (excluding overseas departments),,0.4,EUROPE,ARQ,Western and Central Europe,2014
France,(SS) 15 - 16,Opioids,2,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Germany,12 - 25,Opioids,0.3,Heroin,,,EUROPE,Die Drogenaffinität Jugendlicher in der Bundesrepublik Deutschland 2008.,Western and Central Europe,2008
Germany,(SS) 15 - 16,Opioids,1.1,"Heroin, Select regions",,,EUROPE,ARQ,Western and Central Europe,2007
Germany,(SS) 15 - 16,Opioids,0.8,Heroin. Select regions,,,EUROPE,ARQ,Western and Central Europe,2011
Germany,(SS) 15 - 18,Opioids,0,Heroin.  Region Frankfurt am Main,,,EUROPE,ARQ,Western and Central Europe,2012
Germany,(SS) 15 - 16,Opioids,0.5,Heroin.  Region Frankfurt am Main,,,EUROPE,ARQ,Western and Central Europe,2015
Gibraltar,11 - 18,Opioids,, ,,1.5,EUROPE,ARQ,Western and Central Europe,2002
Greece,(SS) 15 - 16,Opioids,1, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Greece,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2011
Greece,(SS) 15 - 16,Opioids,0.66,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Greece,(SS) 15 - 16,Opioids,1.81,Pharmaceutical opioids.,,,EUROPE,ESPAD,Western and Central Europe,2015
Greenland,(SS) 15 - 16,Opioids,1, ,,1,EUROPE,ESPAD,Western and Central Europe,2003
Hungary,(SS) 15 - 16,Opioids,1.3, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Hungary,(SS) 15 - 16,Opioids,10.1, ,,,EUROPE,ARQ / ESPAD,Western and Central Europe,2015
Hungary,(SS) 15 - 16,Opioids,1.4,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Iceland,(SS) 15 - 16,Opioids,1, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Iceland,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Ireland,(SS) 15 - 16,Opioids,1, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Ireland,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2011
Ireland,(SS) 15 - 16,Opioids,0.4,Heroin,,,EUROPE,ARQ,Western and Central Europe,2015
Italy,15 - 16,Opioids,0.8,Heroin,0.4,0.5,EUROPE,ARQ,Western and Central Europe,2010
Italy,(SS) 15 - 19,Opioids,0.33,Heroin,0.19,0.25,EUROPE,ARQ,Western and Central Europe,2012
Italy,(SS) 15 - 19,Opioids,1.22, ,0.38,0.71,EUROPE,ARQ,Western and Central Europe,2013
Italy,(SS) 15 - 19,Opioids,0.48,Heroin,0.19,0.32,EUROPE,ARQ,Western and Central Europe,2013
Italy,(SS) 15 - 17,Opioids,1.8,Heroin. Male.,1.3,1.5,EUROPE,ARQ,Western and Central Europe,2014
Italy,(SS) 15 - 17,Opioids,1,Heroin. Female.,0.6,0.8,EUROPE,ARQ,Western and Central Europe,2014
Italy,(SS) 15 - 19,Opioids,1.3, ,0.7,1,EUROPE,ARQ,Western and Central Europe,2015
Italy,(SS) 15 - 19,Opioids,1.3,Heroin,0.7,1,EUROPE,ARQ,Western and Central Europe,2015
Italy,(SS) 15 - 19,Opioids,1.47,Heroin,0.94,1.13,EUROPE,ARQ,Western and Central Europe,2016
Latvia,(SS) 15 - 16,Opioids,1.5,Heroin; Riga City,,,EUROPE,ARQ,Western and Central Europe,2010
Latvia,(SS) 15 - 16,Opioids,2.3,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2011
Latvia,(SS) 15 - 16,Opioids,1.6,Heroin,,,EUROPE,ARQ,Western and Central Europe,2015
Latvia,(SS) 19,Opioids,2.1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2015
Liechtenstein,12 - 16,Opioids,0.2, ,,0.2,EUROPE,ARQ,Western and Central Europe,2005
Liechtenstein,12 - 19,Opioids,0.2,Heroin,,0.3,EUROPE,ARQ,Western and Central Europe,2005
Liechtenstein,(SS) 15 - 16,Opioids,3,Heroin,,,EUROPE,ARQ,Western and Central Europe,2011
Liechtenstein,(SS) 15 - 16,Opioids,3, ,,,EUROPE,ARQ,Western and Central Europe,2011
Liechtenstein,(SS) 15 - 16,Opioids,0.3, ,,,EUROPE,ARQ,Western and Central Europe,2015
Liechtenstein,(SS) 15 - 16,Opioids,0.3,Heroin,,,EUROPE,ARQ,Western and Central Europe,2015
Lithuania,(SS) 15 - 16,Opioids,1.1, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Lithuania,(SS) 15 - 16,Opioids,1.6,Heroin,,,EUROPE,ARQ,Western and Central Europe,2011
Lithuania,(SS) 15 - 16,Opioids,1.3,Heroin,,,EUROPE,ARQ,Western and Central Europe,2015
Luxembourg,11 - 17,Opioids,1.2, ,,0.6,EUROPE,ARQ,Western and Central Europe,1999
Luxembourg,12 - 18,Opioids,0.7, ,,0.5,EUROPE,ARQ,Western and Central Europe,2010
Malta,(SS) 15 - 16,Opioids,1.1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2007
Malta,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2011
Malta,(SS) 15 - 16,Opioids,0.8,Heroin,,,EUROPE,ARQ / ESPAD,Western and Central Europe,2015
Monaco,(SS) 15 - 16,Opioids,2, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Monaco,(SS) 15 - 16,Opioids,2,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Netherlands,(SS) 15 - 16,Opioids,1, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Netherlands,12 - 18,Opioids,0.8,Heroin,0.4,,EUROPE,ARQ,Western and Central Europe,2007
Netherlands,12 - 18,Opioids,0.6,Heroin,0.2,,EUROPE,ARQ,Western and Central Europe,2010
Netherlands,(SS) 15 - 16,Opioids,0.6,Heroin,0.2,,EUROPE,ARQ,Western and Central Europe,2011
Netherlands,(SS) 12 - 16,Opioids,0.4, ,0.3,,EUROPE,ARQ / ESPAD,Western and Central Europe,2015
Norway,(SS) 15 - 16,Opioids,1, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Poland,(SS) 15 - 16,Opioids,1.4, ,,1,EUROPE,ARQ,Western and Central Europe,2007
Poland,18 - 19,Opioids,1.9,Heroin,0.5,0.8,EUROPE,ARQ,Western and Central Europe,2010
Poland,(SS) 15 - 16,Opioids,1.3,Heroin,,,EUROPE,ARQ,Western and Central Europe,2012
Poland,(SS) 15 - 16,Opioids,2.4,Polish Heroin,,,EUROPE,ARQ,Western and Central Europe,2012
Poland,(SS) 15 - 16,Opioids,1.6,Heroin,0.7,1,EUROPE,ARQ,Western and Central Europe,2013
Poland,(SS) 15 - 16,Opioids,1.5,Polish Heroin,0.4,0.7,EUROPE,ARQ,Western and Central Europe,2013
Poland,(SS) 15 - 16,Opioids,2,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Poland,(SS) 15 - 16,Opioids,1.9,Heroin,0.7,0.7,EUROPE,ARQ,Western and Central Europe,2016
Portugal,16,Opioids,2.3, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Portugal,(SS) 15 - 16,Opioids,2,Opium,,,EUROPE,ESPAD,Western and Central Europe,2011
Portugal,(SS) 15-16,Opioids,1, ,,,EUROPE,ARQ,Western and Central Europe,2015
Slovakia,15 - 16,Opioids,0.6,Heroin,0.2,0.2,EUROPE,ARQ,Western and Central Europe,2010
Slovakia,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2015
Slovenia,15 - 16,Opioids,1.6,Heroin,,,EUROPE,ARQ,Western and Central Europe,2007
Slovenia,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ARQ,Western and Central Europe,2011
Slovenia,(SS) 15 - 16,Opioids,1,Heroin,,,EUROPE,ESPAD,Western and Central Europe,2015
Spain,14 - 18,Opioids,1, ,0.5,0.6,EUROPE,ARQ,Western and Central Europe,2010
Spain,14 - 18,Opioids,1, ,0.6,0.7,EUROPE,ARQ,Western and Central Europe,2012
Spain,14 - 18,Opioids,1,Heroin,0.6,0.7,EUROPE,ARQ,Western and Central Europe,2012
Spain,14 - 18,Opioids,0.6, ,0.3,0.5,EUROPE,ARQ,Western and Central Europe,2014
Spain,14 - 18,Opioids,0.6,Heroin,0.3,0.5,EUROPE,ARQ,Western and Central Europe,2014
Sweden,(SS) 15 - 16,Opioids,1, ,,,EUROPE,ARQ,Western and Central Europe,2009
Sweden,(SS) 15 - 16,Opioids,0.4,Heroin. Male.,,,EUROPE,ARQ,Western and Central Europe,2014
Sweden,(SS) 15 - 16,Opioids,0.3,Heroin. Female.,,,EUROPE,ARQ,Western and Central Europe,2014
Sweden,(SS) 15 - 16,Opioids,0.8,Heroin. Male.,,,EUROPE,ARQ,Western and Central Europe,2015
Sweden,(SS) 15 - 16,Opioids,0.2,Heroin. Female.,,,EUROPE,ARQ,Western and Central Europe,2015
Sweden,(SS) 15 - 16,Opioids,0.3,Heroin,,,EUROPE,ARQ,Western and Central Europe,2016
Switzerland,(SS) 15 - 16,Opioids,1, ,,,EUROPE,ESPAD,Western and Central Europe,2007
Switzerland,(SS) 15 - 16,Opioids,0.7,Heroin. Male.,,,EUROPE,ARQ,Western and Central Europe,2014
Switzerland,(SS) 15 - 16,Opioids,0.3,Heroin. Female.,,,EUROPE,ARQ,Western and Central Europe,2014
United Kingdom (England),15,Opioids,1.9,Any opiates,0.7,1.7,EUROPE,ARQ,Western and Central Europe,2010
United Kingdom (England),15,Opioids,1,Heroin,0.5,0.8,EUROPE,ARQ,Western and Central Europe,2011
United Kingdom (England),15,Opioids,1.2,Any opioids,0.5,0.9,EUROPE,ARQ,Western and Central Europe,2012
United Kingdom (England),15,Opioids,0.7,Heroin,0.4,0.5,EUROPE,ARQ,Western and Central Europe,2012
United Kingdom (England),15,Opioids,0.6,Methadone,0.2,0.5,EUROPE,ARQ,Western and Central Europe,2012
United Kingdom (England),15,Opioids,0.7,Heroin,0.4,0.5,EUROPE,ARQ,Western and Central Europe,2013
United Kingdom (England),15,Opioids,0.7,Methadone,0.3,0.6,EUROPE,ARQ,Western and Central Europe,2013
United Kingdom (England),15,Opioids,1.3,Any opioids,0.5,0.9,EUROPE,ARQ,Western and Central Europe,2013
United Kingdom (England),15,Opioids,0.6,Any opioids,0.3,0.5,EUROPE,ARQ,Western and Central Europe,2014
United Kingdom (England),15,Opioids,0.3,Heroin,0.1,0.3,EUROPE,ARQ,Western and Central Europe,2014
United Kingdom (England),15,Opioids,0.5,Methadone,0.2,0.4,EUROPE,ARQ,Western and Central Europe,2014
United Kingdom (England),15,Opioids,1,Any opioids,0.6,0.9,EUROPE,Government,Western and Central Europe,2016
United Kingdom (England),15,Opioids,0.7,Heroin,0.4,0.6,EUROPE,Government,Western and Central Europe,2016
United Kingdom (England),15,Opioids,0.3,Methadone,0.3,0.3,EUROPE,Government,Western and Central Europe,2016
United Kingdom (Scotland),(SS) 15,Opioids,1,"Heroin, methadone",1,1,EUROPE,Govt.,Western and Central Europe,2013
United Kingdom (Scotland),15,Opioids,1.6, ,1,1.4,EUROPE,Government/Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS),Western and Central Europe,2015
United Kingdom (Scotland),15,Opioids,1.5,Heroin,0.9,1.3,EUROPE,Government/Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS),Western and Central Europe,2015
United Kingdom (Scotland),15,Opioids,1.2,Methadone,0.8,1,EUROPE,Government/Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS),Western and Central Europe,2015
Australia,12 - 17,Opioids,0.1, ,,0.1,OCEANIA,ARQ,Australia and New Zealand,2007
New Zealand,Youth 16-17,Opioids,1,Household survey,,1,OCEANIA,Govt.,Australia and New Zealand,2008
Guam,(SS) Grades 9 - 12,Opioids,3.6,Youth Risk Behavior Survey,,,OCEANIA,Govt.,Micronesia,2007
Northern Mariana Islands,(SS) Grades 9 - 12,Opioids,3.5,Youth Risk Behavior Survey,,,OCEANIA,Govt.,Micronesia,2007
Marshall Islands,(SS) Grades 9 - 12,Opioids,9.6,Youth Risk Behavior Survey,,,OCEANIA,Govt.,Micronesia,2007
American Samoa,(SS) Grades 9 - 12,Opioids,5.2,Youth Risk Behavior Survey,,,OCEANIA,Govt.,Polynesia,2007
Kenya, (HHS) age 15 - 17,Cocaine-type,0.2, ,0.2,,AFRICA,Govt.,Eastern Africa,2007
Algeria,15 - 17,Cocaine-type,0.71, ,0.38,0.48,AFRICA,ARQ,Northern Africa,2016
Morocco,(SS) 15 - 17,Cocaine-type,1.2,Cocaine,0.4,0.7,AFRICA,MedSPAD,Northern Africa,2009
Morocco,(SS) 15 - 17,Cocaine-type,0.7,Crack,0.4,0.4,AFRICA,MedSPAD,Northern Africa,2009
Morocco,(SS) 15 - 17,Cocaine-type,1.3,Cocaine,,,AFRICA,MedSPAD,Northern Africa,2013
Morocco,(SS) 15 - 17,Cocaine-type,1.2,Crack,,,AFRICA,MedSPAD,Northern Africa,2013
Morocco,(SS) 15 - 17,Cocaine-type,1.3,Cocaine salts,0.1,0.6,AFRICA,ARQ,Northern Africa,2013
Morocco,(SS) 15 - 17,Cocaine-type,1.2,Crack,0.1,0.6,AFRICA,ARQ,Northern Africa,2013
Namibia,15 - 16,Cocaine-type,3.2,"Cocaine, Crack Cocaine",,,AFRICA,Govt.,Southern and South-Eastern Africa,2015
South Africa,13 - 22,Cocaine-type,6.7,"Cocaine, any (HCl and/ or Crack); Select regions (Cape Town)",,,AFRICA,ARQ,Southern and South-Eastern Africa,2008
South Africa,(SS) grades 8- 10,Cocaine-type,1,Cape Town only,,,AFRICA,ARQ,Southern and South-Eastern Africa,2011
Ghana,13 - 15,Cocaine-type,,"Cocaine, any (HCl and/ or Crack)",,2.9,AFRICA,ARQ,West and Central Africa,2007
Antigua and Barbuda,Secondary/ High School,Cocaine-type,1.7,Ages not specified,0.7,1,AMERICAS,OAS (MEM),Caribbean,2005
Antigua and Barbuda,Secondary/ High School,Cocaine-type,1.7,Crack,0.5,0.8,AMERICAS,OAS (MEM),Caribbean,2005
Antigua and Barbuda,SS,Cocaine-type,3.26, ,1.52,1.85,AMERICAS,CICAD/ OAS,Caribbean,2013
Antigua and Barbuda,SS,Cocaine-type,2.76,Crack,1.26,1.7,AMERICAS,CICAD/ OAS,Caribbean,2013
Bahamas,15-16,Cocaine-type,0.3, ,,,AMERICAS,Govt.,Caribbean,2008
Bahamas,15-16,Cocaine-type,0.3,Crack,,0.2,AMERICAS,Govt.,Caribbean,2008
Bahamas,SS,Cocaine-type,1.5, ,0.29,0.7,AMERICAS,CICAD/ OAS,Caribbean,2011
Bahamas,SS,Cocaine-type,1.06,Crack,0.29,0.51,AMERICAS,CICAD/ OAS,Caribbean,2011
Barbados,"(SS) ages 13, 15, & 17",Cocaine-type,2,Crack,0.5,0.7,AMERICAS,OAS (MEM),Caribbean,2006
Barbados,"(SS) ages 13, 15, & 17",Cocaine-type,2, ,0.5,0.9,AMERICAS,OAS (MEM),Caribbean,2006
Barbados,SS,Cocaine-type,2.3,Crack,1.32,1.5,AMERICAS,CICAD/ OAS,Caribbean,2013
Barbados,SS,Cocaine-type,2.8, ,1.32,1.65,AMERICAS,CICAD/ OAS,Caribbean,2013
Dominica,"(SS) ages 13, 15, & 17",Cocaine-type,0.8,Crack,0.4,0.6,AMERICAS,OAS (MEM),Caribbean,2006
Dominica,"(SS) ages 13, 15, & 17",Cocaine-type,0.6, ,0.3,0.4,AMERICAS,OAS (MEM),Caribbean,2006
Dominica,SS,Cocaine-type,2.84, ,0.9,1.31,AMERICAS,CICAD/ OAS,Caribbean,2011
Dominica,SS,Cocaine-type,2.3,Crack,0.63,0.86,AMERICAS,CICAD/ OAS,Caribbean,2011
Dominican Republic,12 - 20,Cocaine-type,2.7,"Cocaine, any (HCl and/ or Crack)",,,AMERICAS,ARQ,Caribbean,2000
Dominican Republic,12 - 18,Cocaine-type,0.7,Crack,0.2,0.5,AMERICAS,ARQ,Caribbean,2008
Dominican Republic,12 - 18,Cocaine-type,0.8, ,0.2,0.5,AMERICAS,ARQ,Caribbean,2008
Grenada,15 - 16,Cocaine-type,0.9,Crack,0.2,0.5,AMERICAS,Govt.,Caribbean,2005
Grenada,SS,Cocaine-type,3.25,Mainly crack,1.61,2.2,AMERICAS,CICAD/ OAS,Caribbean,2013
Haiti,15 - 16,Cocaine-type,2.8,Crack,,1.6,AMERICAS,ARQ,Caribbean,2005
Haiti,15 - 16,Cocaine-type,3.2, ,,2,AMERICAS,ARQ,Caribbean,2005
Haiti,SS,Cocaine-type,2.16,Mainly crack,0.94,1.65,AMERICAS,CICAD/ OAS,Caribbean,2014
Jamaica,Ages 11 - 19,Cocaine-type,1.7,Crack,,,AMERICAS,OAS,Caribbean,2006
Jamaica,Ages 11 - 19,Cocaine-type,3.2, ,1.3,2.1,AMERICAS,OAS,Caribbean,2006
Jamaica,(SS) 15 - 16,Cocaine-type,1, ,,,AMERICAS,ARQ,Caribbean,2010
Jamaica,SS,Cocaine-type,2.08,Mainly crack,0.51,1.08,AMERICAS,CICAD/ OAS,Caribbean,2013
Puerto Rico,(SS) Grades 9 - 12,Cocaine-type,2.1,Youth Risk Behavior Survey,1.3,,AMERICAS,Govt.,Caribbean,2005
Saint Kitts and Nevis,15 - 16,Cocaine-type,2.45, ,0.91,1.29,AMERICAS,Govt.,Caribbean,2006
Saint Kitts and Nevis,15 - 16,Cocaine-type,2.58,Crack,1.04,1.3,AMERICAS,Govt.,Caribbean,2006
Saint Kitts and Nevis,SS,Cocaine-type,2.93,Cocaine salts,1.12,1.77,AMERICAS,CICAD/ OAS,Caribbean,2013
Saint Kitts and Nevis,SS,Cocaine-type,3.38,Crack,1.78,2.1,AMERICAS,CICAD/ OAS,Caribbean,2013
Saint Lucia,"(SS) ages 13, 15, & 17",Cocaine-type,1.5, ,0.5,0.8,AMERICAS,OAS (MEM),Caribbean,2005
Saint Lucia,SS,Cocaine-type,2.96,Cocaine salts,1.12,1.77,AMERICAS,CICAD/ OAS,Caribbean,2013
Saint Lucia,SS,Cocaine-type,2.34,Crack,1.24,1.62,AMERICAS,CICAD/ OAS,Caribbean,2013
Saint Vincent and the Grenadines,"(SS) ages 13, 15, & 17",Cocaine-type,0.32,Crack,0.11,0.21,AMERICAS,OAS (MEM),Caribbean,2006
Saint Vincent and the Grenadines,"(SS) ages 13, 15, & 17",Cocaine-type,0.6, ,0.21,0.32,AMERICAS,OAS (MEM),Caribbean,2006
Saint Vincent and the Grenadines,SS,Cocaine-type,1.21,Cocaine salts,0.64,0.64,AMERICAS,CICAD/ OAS,Caribbean,2013
Saint Vincent and the Grenadines,SS,Cocaine-type,0.72,Crack,0.57,0.65,AMERICAS,CICAD/ OAS,Caribbean,2013
Trinidad and Tobago,"(SS) ages 13, 15, & 17",Cocaine-type,0.74,Crack,,,AMERICAS,OAS (MEM),Caribbean,2006
Trinidad and Tobago,"(SS) ages 13, 15, & 17",Cocaine-type,0.83, ,,,AMERICAS,OAS (MEM),Caribbean,2006
Trinidad and Tobago,SS,Cocaine-type,2.81,Cocaine salts,0.86,1.49,AMERICAS,CICAD/ OAS,Caribbean,2013
Trinidad and Tobago,SS,Cocaine-type,2.17,Crack,0.7,1.14,AMERICAS,CICAD/ OAS,Caribbean,2013
Turks and Caicos Islands,11 - 20,Cocaine-type,,Crack,,0.8,AMERICAS,ARQ,Caribbean,2002
Turks and Caicos Islands,11 - 20,Cocaine-type,1.7, ,,0.7,AMERICAS,ARQ,Caribbean,2002
Belize,"(SS) ages 13, 15, & 17",Cocaine-type,1.9,Crack,0.4,0.8,AMERICAS,OAS (MEM),Central America (excluding Mexico),2002
Belize,"(SS) ages 13, 15, & 17",Cocaine-type,1.4, ,0.5,0.7,AMERICAS,OAS (MEM),Central America (excluding Mexico),2002
Belize,SS,Cocaine-type,2.98, ,0.82,1.64,AMERICAS,CICAD/ OAS,Central America (excluding Mexico),2013
